LON;LAT;
26.0586275;44.433571;-61.42
26.05701733;44.43453;-64.56
26.05771667;44.43453033;-66.81
26.05990183;44.43698917;-66.62
26.06121167;44.444498;-60.69
26.07495033;44.4524305;-53.48
26.08038;44.4521135;-54.4
26.08832333;44.45247817;-62.21
26.09074267;44.452443;-66.42
26.09286767;44.45256917;-66.84
26.09396317;44.452646;-65.5
26.09542633;44.45274233;-58.02
26.09801183;44.45294933;-61.46
26.10045767;44.45293983;-69.06
26.1030815;44.45295067;-70.95
26.10636217;44.45292317;-63.82
26.10846467;44.45285683;-60.48
26.10960817;44.452845;-68.08
26.11415917;44.45269717;-67.15
26.11790133;44.45229;-60.94
26.12020533;44.4517905;-63.14
26.12084933;44.45160883;-69.93
26.1225205;44.45097933;-71.36
26.126098;44.44713233;-70.16
26.12628767;44.44672767;-71.51
26.12658433;44.44624317;-70.6
26.12695333;44.44577033;-67.7
26.12740983;44.44514617;-67.57
26.12866533;44.44395067;-70.08
26.13259383;44.44160617;-70.52
26.13514167;44.43920033;-69.01
26.135456;44.438757;-67.32
26.13703867;44.43560183;-73.52
26.138833;44.42897917;-70.39
26.1382635;44.42768333;-68.6
26.13798117;44.42697867;-70.87
26.13777567;44.42647717;-67.01
26.13769433;44.42628683;-71.29
26.1373955;44.425023;-69.73
26.1373515;44.42476083;-61.19
26.1373395;44.423632;-55.54
26.136822;44.420951;-49.74
26.13575233;44.41862833;-57.01
26.13343717;44.4156015;-47.64
26.13031833;44.4135315;-62.43
26.128554;44.4126225;-52.11
26.1231065;44.40971967;-61.64
26.121685;44.40865967;-52.36
26.12084417;44.4075925;-60.05
26.11903883;44.40876133;-57.37
26.11578133;44.410457;-65.25
26.1137485;44.41521783;-60.58
26.11402267;44.4157435;-55.06
26.113608;44.41585817;-55.39
26.11339933;44.41623283;-55.01
26.1103575;44.41590533;-65.35
26.10549617;44.41467433;-66.77
26.10365333;44.41351617;-54.29
26.09765517;44.4095385;-64.52
26.09639667;44.40881683;-55.8
26.09341017;44.41129283;-66.17
26.09218117;44.414676;-72.58
26.0918335;44.41492167;-70.78
26.08948767;44.41258083;-66.11
26.08764767;44.41013317;-63.78
26.08507683;44.41015617;-66.45
26.0819045;44.41276333;-59.49
26.08126383;44.41330983;-63.17
26.07894117;44.41527817;-68.34
26.07766367;44.41634767;-70.14
26.07715833;44.41675483;-57.91
26.07473567;44.418721;-67.66
26.07054767;44.421838;-68.99
26.070135;44.42214483;-70.26
26.06746567;44.42420583;-67.19
26.06179717;44.42873233;-63.71
26.06212083;44.4296665;-68.2
26.0600725;44.43152433;-64.33
26.05857117;44.431933;-69.02
26.0585;44.43278133;-66.63
26.05872033;44.43317733;-68.93
